CVE_LOC,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,IRS,GRADO_REZAGO,LUGAR_QUE_OCUPA_EN_EL_CONTEXTO_NACIONAL
090120162,"4,2","10,5","58,3","47,6","13,6","0,0","95,5","0,0","9,1","59,1","81,8","0,28762",Medio,31.514
090120168,"3,2","3,2","37,6","31,8","8,6","4,8","83,6","7,8","1,9","44,6","35,7","-0,30217",Bajo,55.189
090120175,"17,2","66,7","44,8","42,9","20,0","0,0","100,0","0,0","0,0","60,0","100,0","0,74466",Alto,20.220
090120179,"3,2","2,5","36,9","19,6","10,4","1,5","24,8","1,5","2,0","35,1","24,3","-0,66972",Bajo,78.373
090120187,"2,4","0,0","41,1","35,8","16,7","0,0","4,5","1,5","4,5","56,1","40,9","-0,47068",Bajo,65.007
090120198,"7,1","33,3","21,4","27,8","0,0","0,0","28,6","14,3","0,0","42,9","14,3","-0,60594",Bajo,73.864
090120210,"4,3","0,0","34,8","23,1","0,0","0,0","53,3","0,0","0,0","60,0","20,0","-0,58116",Bajo,72.207
090120216,"5,5","7,7","41,2","31,0","1,4","1,4","71,4","2,9","8,6","55,7","38,6","-0,24484",Bajo,52.252
090120217,"6,5","6,9","33,8","0,5","1,8","0,0","0,0","0,0","1,8","27,3","20,0","-0,86303",Muy bajo,91.484
090120218,"3,1","9,1","17,7","41,1","0,0","2,8","61,1","2,8","2,8","22,2","19,4","-0,79317",Bajo,86.827
090120220,"0,0","0,0","53,8","45,0","25,0","12,5","25,0","0,0","0,0","25,0","37,5","-0,41902",Bajo,61.803
090120221,"4,9","14,3","48,8","54,0","50,0","0,0","20,0","0,0","60,0","100,0","100,0","0,92781",Alto,16.761
090120222,"3,4","8,0","41,0","4,3","14,7","2,4","35,9","1,8","7,6","46,5","35,9","-0,36810",Bajo,58.874
090120237,"3,3","0,0","30,0","55,6","9,1","0,0","18,2","0,0","0,0","81,8","72,7","-0,26257",Bajo,53.152
090120254,"6,7","0,0","73,3","0,0","0,0","0,0","0,0","0,0","25,0","100,0","75,0","0,22956",Medio,33.340
090120269,"3,6","0,0","21,8","30,8","17,6","11,8","47,1","0,0","23,5","52,9","41,2","-0,24830",Bajo,52.411
090120272,"4,5","0,0","31,8","43,0","35,5","0,0","61,3","0,0","0,0","29,0","16,1","-0,50639",Bajo,67.302
090120275,"0,0","0,0","18,4","40,9","0,0","16,7","0,0","0,0","0,0","25,0","8,3","-1,06625",Muy bajo,102.049
090120276,"3,3","1,1","36,5","37,2","1,5","0,8","62,6","3,1","0,0","33,6","22,9","-0,63719",Bajo,76.003
090120277,"0,0","10,0","45,2","54,5","0,0","0,0","70,6","0,0","0,0","64,7","41,2","-0,29868",Bajo,55.013
090120280,"0,0","0,0","25,0","42,9","0,0","0,0","0,0","0,0","0,0","50,0","37,5","-0,83503",Bajo,89.581
090120282,"5,4","8,2","36,2","31,8","8,5","0,0","36,0","0,4","0,4","30,5","17,4","-0,68393",Bajo,79.322
090120283,"0,0","25,0","54,5","48,4","0,0","0,0","66,7","0,0","0,0","16,7","33,3","-0,47283",Bajo,65.146
090120290,"4,0","3,0","35,1","66,6","8,3","0,5","20,3","2,6","1,0","33,9","16,7","-0,75456",Bajo,84.134
090120291,"5,1","16,7","51,3","83,7","0,0","0,0","6,7","0,0","0,0","53,3","33,3","-0,48552",Bajo,65.977
090120295,"0,0","0,0","33,3","6,3","0,0","0,0","100,0","0,0","0,0","42,9","42,9","-0,44558",Bajo,63.410
090120296,"6,1","14,3","42,9","66,7","29,4","0,0","17,6","0,0","23,5","64,7","70,6","0,13669",Medio,36.297
090120300,"1,3","0,0","28,6","27,9","0,0","0,0","81,5","0,0","0,0","22,2","18,5","-0,77491",Bajo,85.572
090120301,"4,0","1,9","34,5","42,5","4,2","1,1","8,4","1,1","0,0","21,1","15,8","-0,92172",Muy bajo,95.079
090120302,"1,4","0,0","35,2","26,0","7,7","3,8","69,2","3,8","0,0","34,6","34,6","-0,51123",Bajo,67.610
090120310,"3,1","10,0","31,3","39,2","20,0","0,0","30,0","0,0","0,0","0,0","10,0","-0,88359",Muy bajo,92.743
090120311,"0,0","0,0","18,2","60,0","0,0","20,0","0,0","40,0","0,0","40,0","40,0","-0,58755",Bajo,72.615
090120317,"0,0","0,0","80,0","80,0","66,7","0,0","66,7","0,0","33,3","100,0","100,0","1,10988",Alto,14.004
090120319,"5,6","0,0","44,4","45,0","0,0","0,0","83,3","0,0","0,0","33,3","0,0","-0,65307",Bajo,77.160
090120325,"1,6","5,3","22,2","54,8","12,5","0,0","4,2","0,0","0,0","41,7","20,8","-0,84331",Bajo,90.144
090120326,"0,0","0,0","55,6","100,0","33,3","0,0","66,7","0,0","0,0","66,7","33,3","-0,08523",Medio,44.839
090120328,"4,9","11,8","41,1","3,9","9,3","3,7","4,7","1,9","13,1","50,5","42,1","-0,37154",Bajo,59.077
090120333,"23,5","50,0","47,1","60,0","16,7","0,0","83,3","0,0","0,0","50,0","33,3","0,23316",Medio,33.214
090120339,"0,0","0,0","28,6","14,3","0,0","0,0","33,3","0,0","66,7","100,0","100,0","0,38783",Medio,28.639
090120342,"0,0","0,0","22,2","50,0","0,0","0,0","0,0","0,0","0,0","0,0","33,3","-1,14754",Muy bajo,104.467
090120346,"4,3","0,0","39,7","51,3","2,6","2,6","74,4","2,6","0,0","30,8","33,3","-0,50746",Bajo,67.379
090120350,"3,7","33,3","54,9","0,9","35,5","3,2","0,0","3,2","0,0","74,2","67,7","0,18043",Medio,34.856
090120351,"2,1","23,8","35,4","68,8","0,0","0,0","10,7","0,0","0,0","50,0","21,4","-0,66564",Bajo,78.073
090120354,"1,3","25,0","32,0","20,9","3,8","0,0","73,1","7,7","0,0","11,5","11,5","-0,68040",Bajo,79.104
090120355,"6,7","0,0","23,3","42,9","0,0","0,0","46,7","0,0","0,0","20,0","6,7","-0,94716",Muy bajo,96.527
090120356,"0,0","0,0","37,5","87,5","33,3","33,3","100,0","66,7","66,7","66,7","66,7","1,10898",Alto,14.018
090120357,"0,0","0,0","55,0","67,6","71,4","0,0","100,0","14,3","42,9","57,1","42,9","0,66419",Alto,21.926
090120358,"3,4","3,6","28,4","42,6","6,1","0,0","67,3","0,0","0,0","22,4","24,5","-0,70216",Bajo,80.585
090120359,"0,0","0,0","20,0","50,0","0,0","0,0","33,3","66,7","66,7","66,7","100,0","0,47688",Alto,26.245
090120360,"0,0","0,0","28,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-1,29596",Muy bajo,106.697
090120361,"9,1","0,0","18,2","41,7","25,0","0,0","25,0","0,0","0,0","50,0","75,0","-0,30193",Bajo,55.179
090120373,"3,0","0,0","42,4","37,2","0,0","0,0","8,3","8,3","0,0","25,0","25,0","-0,81627",Bajo,88.303
090120374,"8,3","0,0","44,4","46,1","0,0","0,0","96,2","0,0","0,0","34,6","26,9","-0,41794",Bajo,61.739
090120376,"8,1","10,5","43,9","45,3","10,8","3,1","55,4","1,5","3,1","50,8","40,0","-0,22020",Bajo,51.038
090120378,"7,4","10,0","88,9","11,6","12,5","12,5","0,0","0,0","0,0","75,0","87,5","0,33763",Medio,30.045
090120381,"7,5","20,0","42,5","49,2","7,1","3,6","78,6","7,1","10,7","46,4","42,9","-0,05671",Medio,43.608
090120383,"2,8","0,0","29,6","28,1","14,8","0,0","77,8","0,0","3,7","37,0","29,6","-0,48873",Bajo,66.187
090120390,"5,6","11,1","72,2","50,0","6,7","20,0","93,3","26,7","60,0","80,0","86,7","1,10768",Alto,14.037
090120391,"8,8","0,0","44,1","20,9","20,0","10,0","20,0","0,0","0,0","80,0","40,0","-0,14633",Medio,47.569
090120392,"8,6","0,0","48,6","25,6","0,0","0,0","40,0","0,0","0,0","10,0","10,0","-0,80930",Bajo,87.862
090120393,"5,0","6,7","35,0","49,2","15,5","0,0","70,2","1,2","0,0","36,9","19,0","-0,49091",Bajo,66.335
090120394,"3,6","11,5","37,8","47,5","30,6","5,6","91,7","5,6","5,6","41,7","58,3","0,06584",Medio,38.820
090120396,"3,3","0,8","23,3","37,2","1,9","1,9","0,0","0,0","0,5","25,5","13,9","-1,04204",Muy bajo,101.147
090120399,"3,9","6,1","41,3","49,8","21,4","0,0","82,9","0,0","2,9","50,0","50,0","-0,11671",Medio,46.220
090120410,"0,0","0,0","0,0","40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-1,49146",Muy bajo,107.968
090120416,"3,9","8,7","33,8","36,8","0,0","0,0","0,0","0,0","0,0","20,0","8,0","-1,01331",Muy bajo,99.943
090120418,"2,6","0,0","23,7","44,4","18,2","9,1","81,8","9,1","0,0","18,2","9,1","-0,62938",Bajo,75.458
090120420,"12,1","0,0","51,5","30,0","55,6","22,2","100,0","22,2","0,0","44,4","66,7","0,62341",Alto,22.788
090120422,"0,0","0,0","39,4","39,0","0,0","0,0","90,9","0,0","0,0","54,5","36,4","-0,40571",Bajo,61.018
090120423,"0,0","0,0","68,8","58,3","0,0","0,0","25,0","0,0","25,0","37,5","62,5","-0,19690",Medio,49.922
090120426,"4,2","0,0","33,3","8,6","0,0","0,0","81,8","0,0","9,1","36,4","45,5","-0,41743",Bajo,61.692
090120427,"1,9","7,7","44,2","81,2","20,0","0,0","70,0","0,0","5,0","40,0","30,0","-0,31502",Bajo,55.886
090120429,"1,4","0,0","41,3","27,3","44,6","3,1","61,5","3,1","7,7","84,6","63,1","0,24384",Medio,32.879
090120430,"0,0","0,0","75,0","30,0","0,0","0,0","0,0","0,0","0,0","66,7","0,0","-0,61078",Bajo,74.193
090120436,"5,9","3,8","47,5","41,8","12,5","5,0","95,0","17,5","10,0","70,0","57,5","0,23507",Medio,33.145
090120438,"23,1","0,0","76,9","89,5","71,4","14,3","71,4","28,6","0,0","57,1","28,6","0,77465",Alto,19.647
090120439,"1,4","4,2","42,5","20,7","6,5","9,7","87,1","12,9","12,9","61,3","54,8","0,04516",Medio,39.569
090120440,"13,6","8,0","52,5","42,9","0,0","0,0","95,7","4,3","4,3","69,6","39,1","0,04764",Medio,39.476
090130001,"1,9","4,7","20,1","30,8","2,1","0,4","6,7","0,6","0,1","23,3","9,9","-1,07976",Muy bajo,102.534
090130091,"4,2","0,0","31,1","35,9","9,3","0,0","9,3","0,0","4,7","30,2","11,6","-0,86788",Muy bajo,91.747
090130096,"4,8","10,8","41,4","23,0","5,3","12,3","75,4","7,0","3,5","63,2","54,4","-0,00451",Medio,41.495
090130111,"5,0","0,0","35,0","23,3","0,0","0,0","87,5","12,5","0,0","50,0","25,0","-0,41972",Bajo,61.839
090130113,"0,0","0,0","0,0","100,0","0,0","0,0","0,0","0,0","0,0","66,7","33,3","-0,93794",Muy bajo,96.010
090130118,"2,0","4,7","31,2","31,2","3,1","1,5","87,7","9,2","0,0","36,9","29,2","-0,48496",Bajo,65.944
090130134,"4,2","2,1","38,5","43,7","4,4","3,8","95,6","3,8","3,1","54,1","39,0","-0,22687",Bajo,51.350
090130136,"1,4","0,0","23,8","35,3","1,6","0,0","37,2","3,1","1,6","29,5","14,0","-0,90789",Muy bajo,94.253
